dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4787644787644787,0.4604521099318281,0.3943211942543493,0.8523869684876371,1.5020388521758317,1.505856990814209,4.612789154052734,ok,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data200/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7336004006009014,0.7330988191192322,0.7326163567434275,0.9027895681284224,0.5860072345642322,0.681236743927002,1.7430541515350342,ok,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data200/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5871609403254973,0.5859397734199362,0.5697051307629238,0.7641656232653776,0.8758825396235289,1.2117269039154053,36.92871475219727,ok,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data200/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.876,0.8655442422161173,0.7438069810951167,0.8817654326128903,0.3139753509583534,0.6692874431610107,3.082589864730835,ok,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data200/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9212693798449612,0.921269365984248,0.921269713468831,0.9796393038183422,0.1838062020676849,0.6982862949371338,7.621962308883667,ok,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data200/Click_prediction_small,binclass,31958,6392,7990,3,2,0.7178973717146433,0.7328824852598665,0.5617061232559201,0.6068707714699518,0.485295541678156,0.7263636589050293,7.534362554550171,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9833333333333332,0.9833353605208134,0.9834538375973304,0.9974624582869857,0.0534185186648907,0.6355416774749756,1.2725200653076172,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9708333333333332,0.970840932117528,0.9712180200222468,0.9953420467185762,0.0870260587159979,0.6289892196655273,1.2310779094696045,ok,
Credit_c,/home/crc00006699/zh/tabiclv2/data200/Credit_c,multiclass,80000,16000,20000,22,3,0.81935,0.8193411288139149,0.8266680646863657,0.9312080496351328,0.424532590803382,2.413721799850464,117.4910728931427,ok,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data200/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7402597402597403,0.739887282528792,0.7380307136404698,0.8399578440228846,0.4868721833845573,0.5821874141693115,1.1221861839294434,ok,
Employee,/home/crc00006699/zh/tabiclv2/data200/Employee,binclass,3722,745,931,8,2,0.8582169709989259,0.8510758843734141,0.8078892184942716,0.8786543576104746,0.3555104709914954,0.5990526676177979,1.4116928577423096,ok,
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data200/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7547683923705722,0.7547028068342396,0.7545743480068912,0.8332293708786311,0.5046271644536436,0.5712451934814453,0.6800229549407959,ok,
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data200/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7493188010899182,0.749274129655601,0.7495692984019486,0.8397790055248618,0.497088686176853,0.6063277721405029,0.7245364189147949,ok,
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data200/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7234455219623502,0.7234474027190492,0.7232031567645946,0.8003333052964576,0.5410022915075978,0.9452331066131592,25.34238886833191,ok,
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data200/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.7071306332002282,0.7071742619315781,0.7062561007736782,0.7867591958729642,0.5540940559249808,0.9124479293823242,25.69846248626709,ok,
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data200/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7168282943525385,0.716790308054404,0.7163443457433171,0.7902545087758646,0.5535409448123597,0.8082542419433594,25.364328622817997,ok,
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data200/Fitness_Club_c,binclass,1200,240,300,6,2,0.8033333333333333,0.7961465279630122,0.7378673957621326,0.8223355591776644,0.454467871231821,0.5945219993591309,0.519669771194458,ok,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data200/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.684375,0.6841251380486517,0.684375,0.75998046875,0.5652500461356792,0.6076223850250244,0.9397196769714355,ok,
GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data200/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.8283544303797469,0.8271092898678005,0.8055375811972294,0.9668834796092846,0.481926001632089,0.7876174449920654,4.305724620819092,ok,
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data200/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.953781512605042,0.9536614172576188,0.9511664407505172,0.983234643647,0.1521260728688007,0.6069715023040771,1.0774204730987549,ok,
Indian_pines,/home/crc00006699/zh/tabiclv2/data200/Indian_pines,multiclass,7315,1463,1829,220,8,0.9879715691634772,0.9879592271943958,0.993097442680776,0.9998728636091893,0.032437085209561,2.039034128189087,15.825403451919556,ok,
Intersectional-Bias-Assessment,/home/crc00006699/zh/tabiclv2/data200/Intersectional-Bias-Assessment,binclass,8800,1760,2200,19,2,0.945,0.9450003750093752,0.9450064506744488,0.990064886925173,0.1317191976316892,0.7899870872497559,4.009369373321533,ok,
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data200/JapaneseVowels,multiclass,7968,1594,1993,14,9,1.0,1.0,1.0,1.0,0.0009156855559639,0.6950461864471436,3.2215945720672607,ok,
KDDCup09_upselling,/home/crc00006699/zh/tabiclv2/data200/KDDCup09_upselling,binclass,4102,821,1026,49,2,0.8118908382066277,0.809975750119714,0.8118908382066277,0.9111008515440648,0.3572160428615911,0.8627874851226807,2.867715835571289,ok,
MIC,/home/crc00006699/zh/tabiclv2/data200/MIC,binclass,1319,264,330,104,2,0.9090909090909092,0.8995772562318263,0.7459413873076113,0.8822826621688101,0.2654257690139981,0.8855562210083008,1.8075661659240725,ok,
Marketing_Campaign,/home/crc00006699/zh/tabiclv2/data200/Marketing_Campaign,binclass,1792,359,448,27,2,0.8839285714285714,0.8741572521865889,0.7041955576448466,0.9257648764053746,0.2392499567622685,0.633690357208252,1.0002858638763428,ok,
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data200/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8333333333333334,0.7842747867019711,0.5293465431524733,0.7765835687971673,0.3775657754165759,0.5521748065948486,0.7832207679748535,ok,
PhishingWebsites,/home/crc00006699/zh/tabiclv2/data200/PhishingWebsites,binclass,8844,1769,2211,30,2,0.9800995024875622,0.9800771018843496,0.9787993832789006,0.9987433478671728,0.0452729831818097,0.8075902462005615,4.684237718582153,ok,
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data200/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7272727272727273,0.7179459691252145,0.675,0.8601851851851852,0.4630922978104735,0.5504000186920166,0.657728910446167,ok,
Pumpkin_Seeds,/home/crc00006699/zh/tabiclv2/data200/Pumpkin_Seeds,binclass,2000,400,500,12,2,0.884,0.8838602970694501,0.8830128205128205,0.9480288461538462,0.2926606697735451,0.7173817157745361,0.8388950824737549,ok,
Rain_in_Australia,/home/crc00006699/zh/tabiclv2/data200/Rain_in_Australia,multiclass,116368,23274,29092,18,3,0.8583115633163756,0.8501321260261998,0.6956389895647194,0.9167118360936058,0.3517704509131497,2.564601421356201,264.2737305164337,ok,
Shipping,/home/crc00006699/zh/tabiclv2/data200/Shipping,binclass,8799,1760,2200,9,2,0.6890909090909091,0.679261230572706,0.7314149192602232,0.7351291623114828,0.4992362267973182,0.631427526473999,3.6549577713012695,ok,
UJI_Pen_Characters,/home/crc00006699/zh/tabiclv2/data200/UJI_Pen_Characters,multiclass,1091,219,273,80,35,0.5421245421245421,0.5295154459586745,0.5495421245421245,0.9648504122058276,1.3834314721258507,0.7026364803314209,5.110203981399536,ok,
Water_Quality_and_Potability,/home/crc00006699/zh/tabiclv2/data200/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.6570121951219512,0.5961836671620173,0.57671875,0.6710888671874999,0.6227821690899209,1.2770781517028809,1.176832675933838,ok,
Wilt,/home/crc00006699/zh/tabiclv2/data200/Wilt,binclass,3856,772,965,5,2,0.9927461139896372,0.9926443320683423,0.9508277866711602,0.9920380823995284,0.0306518704041164,0.5547022819519043,1.090817928314209,ok,
accelerometer,/home/crc00006699/zh/tabiclv2/data200/accelerometer,multiclass,122403,24481,30601,4,4,0.7423940394104768,0.7404402823554254,0.8067892156862745,0.9295707132051388,0.5328235967427476,1.5688560009002686,235.90391731262207,ok,
ada_agnostic,/home/crc00006699/zh/tabiclv2/data200/ada_agnostic,binclass,3649,730,913,48,2,0.8466593647316539,0.8442277553941117,0.7800567678298507,0.9070105701185444,0.321297729975832,0.6968560218811035,2.4011404514312744,ok,
adult,/home/crc00006699/zh/tabiclv2/data200/adult,binclass,32561,6513,16281,14,2,0.8717523493642897,0.866402815168242,0.7869166153859665,0.9250383742732098,0.2815974889835024,1.0351145267486572,27.79893565177917,ok,
allbp,/home/crc00006699/zh/tabiclv2/data200/allbp,multiclass,3017,604,755,29,3,0.9774834437086092,0.975153287094861,0.643059402893198,0.9896593302892944,0.0603777741134139,0.6182124614715576,1.6495285034179688,ok,
analcatdata_authorship,/home/crc00006699/zh/tabiclv2/data200/analcatdata_authorship,multiclass,672,135,169,69,4,0.9940828402366864,0.9940804879569156,0.9957627118644068,0.9999242768178148,0.0132433487591417,0.63010573387146,0.9306302070617676,ok,
autoUniv-au4-2500,/home/crc00006699/zh/tabiclv2/data200/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.724,0.6943195973631096,0.5239251867193874,0.7714990828684979,0.6625801617478542,0.8722400665283203,2.580028772354126,ok,
bank,/home/crc00006699/zh/tabiclv2/data200/bank,binclass,36168,7234,9043,16,2,0.9091009620701096,0.9064063708862444,0.7525616911671578,0.9435106940825956,0.1847545632930649,1.201365947723389,28.388148546218872,ok,
baseball,/home/crc00006699/zh/tabiclv2/data200/baseball,multiclass,1072,215,268,16,3,0.9440298507462688,0.9342657264063036,0.6038961038961039,0.9756755529255822,0.1322962718819817,0.6793780326843262,0.6699864864349365,ok,
churn,/home/crc00006699/zh/tabiclv2/data200/churn,binclass,4000,800,1000,20,2,0.967,0.9656316025636732,0.8948348318595761,0.9319429651830018,0.1202440822028237,0.6461696624755859,1.7828481197357178,ok,
company_bankruptcy_prediction,/home/crc00006699/zh/tabiclv2/data200/company_bankruptcy_prediction,binclass,5455,1091,1364,95,2,0.968475073313783,0.9642473162234833,0.6431818181818182,0.9640840220385676,0.0722672647476811,1.0598833560943604,6.276293992996216,ok,
connect-4,/home/crc00006699/zh/tabiclv2/data200/connect-4,multiclass,54045,10809,13512,42,3,0.8557578448786264,0.8415555291711785,0.6797792062811808,0.9417942750261684,0.3503917704684789,3.2817306518554688,94.05097723007202,ok,
credit,/home/crc00006699/zh/tabiclv2/data200/credit,binclass,13371,2675,3343,10,2,0.784624588692791,0.7846110589727805,0.784622242933922,0.8650553417573639,0.4617331069077474,0.6210894584655762,5.808985948562622,ok,
customer_satisfaction_in_airline,/home/crc00006699/zh/tabiclv2/data200/customer_satisfaction_in_airline,binclass,103904,20781,25976,21,2,0.964736680012319,0.9647792742667894,0.9658589638595524,0.9959050400399388,0.0785029650331007,2.93012809753418,215.79433751106265,ok,
default_of_credit_card_clients,/home/crc00006699/zh/tabiclv2/data200/default_of_credit_card_clients,binclass,24000,4800,6000,23,2,0.8265,0.8062530862052733,0.6668463399306346,0.8012343351656512,0.4136807367536179,1.105068922042847,16.442904710769653,ok,
dis,/home/crc00006699/zh/tabiclv2/data200/dis,binclass,3017,604,755,29,2,0.990728476821192,0.989524085374335,0.7493270524899058,0.9858681022880216,0.0320571160498845,0.7948465347290039,1.6319804191589355,ok,
drug_consumption,/home/crc00006699/zh/tabiclv2/data200/drug_consumption,multiclass,1507,302,377,12,7,0.403183023872679,0.2316968605998004,0.1428571428571428,0.5272336233139694,1.5129499500494643,0.5396878719329834,0.635200023651123,ok,
eeg-eye-state,/home/crc00006699/zh/tabiclv2/data200/eeg-eye-state,binclass,11984,2397,2996,14,2,0.9933244325767692,0.9933235003941218,0.9931162593809316,0.9999000267946204,0.0132466555714447,0.7112457752227783,5.391314029693604,ok,
estimation_of_obesity_levels,/home/crc00006699/zh/tabiclv2/data200/estimation_of_obesity_levels,multiclass,1688,338,423,16,7,0.9905437352245864,0.9905622153790828,0.9902298850574712,0.9999325190633648,0.0264410788666619,0.5734214782714844,0.8586478233337402,ok,
eye_movements,/home/crc00006699/zh/tabiclv2/data200/eye_movements,multiclass,8748,1750,2188,27,3,0.8263254113345521,0.825913624040581,0.8352063963498472,0.9470251814876456,0.4186369876010179,0.9068870544433594,4.5131776332855225,ok,
first-order-theorem-proving,/home/crc00006699/zh/tabiclv2/data200/first-order-theorem-proving,multiclass,4894,979,1224,51,6,0.6503267973856209,0.6330051917389974,0.5247660461462956,0.8605384257162974,1.0134262498032678,0.9304842948913574,3.280522584915161,ok,
golf_play_dataset_extended,/home/crc00006699/zh/tabiclv2/data200/golf_play_dataset_extended,binclass,876,176,219,9,2,0.9406392694063926,0.9403986457399272,0.9065720030158332,0.9798944458406634,0.1516410436161013,0.6902902126312256,0.944807767868042,ok,
heloc,/home/crc00006699/zh/tabiclv2/data200/heloc,binclass,8000,1600,2000,22,2,0.7315,0.7311418136812768,0.7315,0.8033005,0.5401107588782178,0.7462306022644043,3.7758145332336426,ok,
house_16H,/home/crc00006699/zh/tabiclv2/data200/house_16H,binclass,10790,2158,2698,16,2,0.8902891030392883,0.8902881384339358,0.8902891030392883,0.958013541041026,0.2642282573054076,0.7008717060089111,4.822846651077271,ok,
ibm-employee-performance,/home/crc00006699/zh/tabiclv2/data200/ibm-employee-performance,binclass,1176,236,294,30,2,1.0,1.0,1.0,1.0,2.118810336678895e-06,0.5681767463684082,0.878887414932251,ok,
internet_firewall,/home/crc00006699/zh/tabiclv2/data200/internet_firewall,multiclass,52425,10485,13107,7,4,0.9311055161364156,0.92846482506063,0.776724515761405,0.9862641537330176,0.1606165939583618,0.7834792137145996,49.10721302032471,ok,
jasmine,/home/crc00006699/zh/tabiclv2/data200/jasmine,binclass,2387,478,597,144,2,0.8291457286432161,0.8277628527251643,0.8292967610154653,0.8879149738501942,0.378560775499984,1.159001111984253,4.336568832397461,ok,
jungle_chess_2pcs_raw_endgame_complete,/home/crc00006699/zh/tabiclv2/data200/jungle_chess_2pcs_raw_endgame_complete,multiclass,35855,7171,8964,6,3,0.8960285586791611,0.8957308536706121,0.8587465441395707,0.9865918610003024,0.1735806586190084,0.7094628810882568,25.24735951423645,ok,
kdd_ipums_la_97-small,/home/crc00006699/zh/tabiclv2/data200/kdd_ipums_la_97-small,binclass,4150,830,1038,20,2,0.8872832369942196,0.886753394013258,0.8872832369942196,0.950417840741607,0.2568925273373834,0.6110630035400391,1.8779330253601076,ok,
kr-vs-kp,/home/crc00006699/zh/tabiclv2/data200/kr-vs-kp,binclass,2556,512,640,36,2,0.9984375,0.9984376031804651,0.998502994011976,0.9999706469414114,0.0078080703830464,0.6640989780426025,1.5084426403045654,ok,
law-school-admission-bianry,/home/crc00006699/zh/tabiclv2/data200/law-school-admission-bianry,binclass,16640,3328,4160,11,2,1.0,1.0,1.0,1.0,7.533073387329398e-07,0.837573766708374,8.074022054672241,ok,
led7,/home/crc00006699/zh/tabiclv2/data200/led7,multiclass,2560,512,640,7,10,0.740625,0.7363906987718676,0.7386482164741988,0.9594383655168508,0.7801567834341017,0.5553672313690186,0.956251859664917,ok,
madeline,/home/crc00006699/zh/tabiclv2/data200/madeline,binclass,2512,503,628,259,2,0.9203821656050956,0.92037004979501,0.9203180785459266,0.9770265335929892,0.190255780642357,1.209580659866333,7.222273588180542,ok,
maternal_health_risk,/home/crc00006699/zh/tabiclv2/data200/maternal_health_risk,multiclass,811,163,203,6,3,0.8768472906403941,0.8748005893782885,0.8794702134668967,0.9633937123785374,0.3272784625037615,0.5626609325408936,0.6984360218048096,ok,
mfeat-fourier,/home/crc00006699/zh/tabiclv2/data200/mfeat-fourier,multiclass,1600,320,400,76,10,0.92,0.9195119981295752,0.92,0.9947847222222224,0.209188355016071,0.664243221282959,1.6130239963531494,ok,
mfeat-morphological,/home/crc00006699/zh/tabiclv2/data200/mfeat-morphological,multiclass,1600,320,400,6,10,0.7675,0.7585173782567406,0.7674999999999998,0.9739444444444444,0.492444419724118,0.5251138210296631,0.7052280902862549,ok,
mfeat-zernike,/home/crc00006699/zh/tabiclv2/data200/mfeat-zernike,multiclass,1600,320,400,47,10,0.905,0.9032959496882488,0.905,0.9925208333333334,0.220414003859456,0.6633687019348145,1.241659164428711,ok,
microaggregation2,/home/crc00006699/zh/tabiclv2/data200/microaggregation2,multiclass,16000,3200,4000,20,5,0.64575,0.5989321018346646,0.4374387894003501,0.8362360462935857,0.8593320166581542,0.765510082244873,9.043702363967896,ok,
mozilla4,/home/crc00006699/zh/tabiclv2/data200/mozilla4,binclass,12436,2488,3109,4,2,0.9437118044387264,0.9431198630720804,0.926616825619786,0.9781871186555108,0.1589146624328124,0.5941369533538818,2.5452544689178467,ok,
national-longitudinal-survey-binary,/home/crc00006699/zh/tabiclv2/data200/national-longitudinal-survey-binary,binclass,3926,786,982,16,2,1.0,1.0,1.0,1.0,0.0002375397147574,0.586773157119751,1.7194840908050537,ok,
one-hundred-plants-margin,/home/crc00006699/zh/tabiclv2/data200/one-hundred-plants-margin,multiclass,1280,256,320,64,100,0.9,0.897358630952381,0.9016666666666668,0.9990504249357772,0.3214561311085124,0.920060396194458,7.397325038909912,ok,
one-hundred-plants-texture,/home/crc00006699/zh/tabiclv2/data200/one-hundred-plants-texture,multiclass,1279,256,320,64,100,0.93125,0.930500992063492,0.9333333333333336,0.9995369298140532,0.2323636514000946,0.6375782489776611,7.642926931381226,ok,
optdigits,/home/crc00006699/zh/tabiclv2/data200/optdigits,multiclass,4496,900,1124,64,10,0.998220640569395,0.9982205883039564,0.9982142857142856,0.999989426145986,0.0094771944759135,0.7844424247741699,3.4859275817871094,ok,
ozone_level,/home/crc00006699/zh/tabiclv2/data200/ozone_level,binclass,2028,406,508,36,2,0.9763779527559056,0.9705430247513882,0.4969939879759519,0.8267646403918949,0.0870423764772632,0.7650144100189209,1.330676555633545,ok,
