dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9449191333536772,0.932147034157801,0.5943292064136391,0.8361584395329708,0.166377920207165,54.30832266807556,12.859391927719116,ok,,26215,20972,0,6554,0.2134508565068245,True,0.1,False,57,1e-05,True,54.07863259315491,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=32769>=2000,30,3,epoch_chunk,accuracy,0.949074957085638,0.9506008010680908,0.949074957085638,0.9506008010680908,11,True,False,,f_mmd,test,standardized_l2,2.7101166695326047,0.7132049543184317,,True
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data184/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.757135703555333,0.7567450532836608,0.7563870768522444,0.9159983293643914,0.5478666014074549,19.67763996124268,1.388148307800293,ok,,7987,6389,0,1997,0.5813232064247131,True,0.1,False,30,1e-05,True,19.64061951637268,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=9984>=2000,30,1,epoch_chunk,accuracy,0.7509386733416771,0.7828535669586983,0.7509386733416771,0.7828535669586983,29,False,False,,f_mmd,test,standardized_l2,2.214255842382425,0.52797960419782,,True
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9881889763779528,0.9882017739085094,0.988013101786487,0.9991391142857858,0.0336127828870692,87.6039936542511,20.399483680725098,ok,,31492,25193,0,7874,0.0363205187022686,True,0.1,False,84,1e-05,True,87.34956812858582,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=39366>=2000,30,3,epoch_chunk,accuracy,0.98666454992856,0.9879345927925068,0.98666454992856,0.9879345927925068,20,True,False,,f_mmd,test,standardized_l2,3.0795086347335703,0.8663256525110182,,True
BNG(cmc),/home/crc00006699/zh/tabiclv2/data184/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5877938517179023,0.5862416377737292,0.5690290605756556,0.765301724084335,0.8737308237953966,62.013416051864624,36.70376968383789,ok,,44236,35388,0,11060,0.8873113095760345,True,0.1,False,52,1e-05,True,61.61212372779846,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=55296>=2000,30,4,epoch_chunk,accuracy,0.5762884267631103,0.5783227848101266,0.5762884267631103,0.5783227848101266,5,True,False,,f_mmd,test,standardized_l2,2.1959856083873253,0.5246082558992831,,True
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8145796291592583,0.8120729426518644,0.7836237993451125,0.8837810338288298,0.4035428839841459,36.61161613464356,20.46505069732666,ok,,31492,25193,0,7874,0.4395628422498703,True,0.1,False,33,1e-05,True,36.29169321060181,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=39366>=2000,30,3,epoch_chunk,accuracy,0.8096523257659946,0.8098110811239879,0.8096523257659946,0.8098110811239879,3,True,False,,f_mmd,test,standardized_l2,1.4329446753841435,0.1342508465317149,,True
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8745,0.8643887435096065,0.7437799895427014,0.8828620608281624,0.312895063314944,9.624629259109495,2.740281581878662,ok,,8000,6400,0,2000,0.3504043668508529,True,0.1,False,11,1e-05,True,9.536044359207152,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=10000>=2000,30,1,epoch_chunk,accuracy,0.861875,0.864375,0.861875,0.864375,3,True,False,,f_mmd,test,standardized_l2,1.5992043188286804,0.3558455279580935,,True
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7014925373134329,0.6996191714905836,0.6777699031419797,0.7435624852350579,0.5781217591395699,4.8691229820251465,0.386063814163208,ok,,1072,857,0,268,0.6178067624568939,True,0.1,True,14,1e-05,True,4.83608341217041,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft=alpha0.1 rows=1340<2000,30,1,epoch_chunk,accuracy,0.7581395348837209,0.772093023255814,0.7581395348837209,0.772093023255814,6,True,False,,f_mmd,test,standardized_l2,3.0331155126065927,1.7815882785264672,,True
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data184/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9244186046511628,0.924418498200792,0.9244192911190948,0.9802941014226207,0.1805960912159635,23.25676655769348,7.170577049255371,ok,,16512,13209,0,4128,0.2021948248147964,True,0.1,False,28,1e-05,True,23.11761450767517,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=20640>=2000,30,2,epoch_chunk,accuracy,0.9182561307901907,0.9224947017862548,0.9182561307901907,0.9224947017862548,6,True,False,,f_mmd,test,standardized_l2,3.659230018752077,7.796815531165866,,True
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7325714285714285,0.7322461174644646,0.7325515861392935,0.8011572718064561,0.5423924192814055,60.85057520866394,56.70482349395752,ok,,56000,44800,0,14000,0.5282776355743408,True,0.1,False,45,1e-05,True,60.35011553764343,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=70000>=2000,30,5,epoch_chunk,accuracy,0.7323214285714286,0.7339285714285714,0.7323214285714286,0.7339285714285714,1,True,False,,f_mmd,test,standardized_l2,4.392218096511725,42.06819380849132,,True
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data184/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8332916145181477,0.7606286239548004,0.5069778852854534,0.6257162726226078,0.4385034819741377,55.71804594993591,7.304248094558716,ok,,31958,25566,0,7990,0.4594935029745102,True,0.1,False,63,1e-05,True,55.629488468170166,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=39948>=2000,30,3,epoch_chunk,accuracy,0.8322903629536921,0.8326032540675845,0.8322903629536921,0.8326032540675845,13,True,False,,f_mmd,test,standardized_l2,64.7512999132209,3211.0248844038138,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.98125,0.9812551287562032,0.9817157953281423,0.9964022525027808,0.0631484157420525,7.015983819961548,0.9086661338806152,ok,,1920,1536,0,480,0.1407118365168571,True,0.1,False,14,1e-05,True,6.940552711486816,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9661458333333334,0.9713541666666666,0.9661458333333334,0.9713541666666666,6,True,False,,f_mmd,test,standardized_l2,2.689213829683035,0.5319167770763085,,True
