dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9435459261519684,0.9203609550707988,0.525494536015297,0.815613002467606,0.1824170173487579,217.87341785430908,7.421443223953247,ok,,26215,20972,0,6554,,90,1e-05,True,203.66900324821472,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,21,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9422086591646004,0.9439252336448598,,,15,True,False,,f_mmd,test,standardized_l2,0.05,3.2957059206397785,0.5388372788693769,,True
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.986029972059944,0.9860540104451272,0.986279645096818,0.9989661938602707,0.0370990972432954,127.6378026008606,12.423858404159546,ok,,31492,25193,0,7874,,90,1e-05,True,127.6373736858368,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,26,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9850769963486268,0.98523575170662,,,4,True,False,,f_mmd,test,standardized_l2,0.05,4.256613132585846,0.7708986927143349,,True
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8040386080772162,0.799444396624375,0.7648399652307668,0.8715000256577183,0.4220572218099832,128.12536191940308,8.537469863891602,ok,,31492,25193,0,7874,,90,1e-05,True,128.12494158744812,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,26,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7963168756945547,0.8028258453722813,,,4,True,False,,f_mmd,test,standardized_l2,0.05,1.840869163287488,0.1143474877561435,,True
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7052238805970149,0.7043439518823792,0.684561776517836,0.7380403968816442,0.5816378712210166,4.492855787277222,0.2179548740386963,ok,,1072,857,0,268,,30,1e-05,True,4.492473602294922,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7488372093023256,0.7581395348837209,,,3,True,False,,f_mmd,test,standardized_l2,0.05,4.580026916701443,1.8472818550739796,,True
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7286428571428571,0.7283972671973125,0.7286257481226932,0.7971697603003299,0.547197686549535,281.92991614341736,36.27376580238342,ok,,56000,44800,0,14000,,150,1e-05,True,281.9294009208679,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,45,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.730625,0.7311607142857143,,,3,True,False,,f_mmd,test,standardized_l2,0.05,28.4653352059012,22.675650266145183,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9541666666666668,0.954176215940922,0.9549499443826474,0.9829584955506118,0.1522533113505465,11.76522660255432,0.5599446296691895,ok,,1920,1536,0,480,,30,1e-05,True,11.76464557647705,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9401041666666666,0.9505208333333334,,,7,True,False,,f_mmd,test,standardized_l2,0.05,3.474111017300537,0.5011058777592388,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.95,0.9500130228681566,0.9506395995550612,0.9840100111234706,0.1605731068401955,6.447331428527832,0.5613703727722168,ok,,1920,1536,0,480,,30,1e-05,True,6.446962833404541,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9583333333333334,0.9583333333333334,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.770015941600811,0.3098385256639118,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9354166666666668,0.9354275991683704,0.9362486095661846,0.9850093854282536,0.1546202923357897,6.500658512115479,0.5641994476318359,ok,,1920,1536,0,480,,30,1e-05,True,6.5002381801605225,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9192708333333334,0.9192708333333334,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.0647206884737748,0.2426838793946044,,True
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.90625,0.8911452738990332,0.7050182160065812,0.9003799898147059,0.2572753926596366,10.624286413192747,0.5304622650146484,ok,,1792,1433,0,448,,30,1e-05,True,10.623895406723022,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.8690807799442897,0.8802228412256268,,,8,True,False,,f_mmd,test,standardized_l2,0.05,4.669495286517381,1.169198933209213,,True
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6772727272727272,0.6664863590741811,0.725603216812879,0.7297165368258273,0.5048048322811511,38.85479116439819,1.5602014064788818,ok,,8799,7039,0,2200,,30,1e-05,True,38.8543963432312,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,8,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.6823863636363636,0.6829545454545455,,,6,True,False,,f_mmd,test,standardized_l2,0.05,2.4540366114714915,0.4161804047854791,,True
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data184/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7498734177215189,0.7496407810905535,0.748786357902695,0.825321309562452,0.514784448961103,40.2572295665741,2.7260584831237797,ok,,7896,6316,0,1975,,30,1e-05,True,40.25681161880493,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,7,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7455696202531645,0.7468354430379747,,,5,True,False,,f_mmd,test,standardized_l2,0.05,4.390526595768637,3.2363273435610607,,True
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7142042213348545,0.7142438787551124,0.7146446699740497,0.7852360999810628,0.5584206476811383,134.7000424861908,17.191831350326538,ok,,35060,28048,0,8765,,90,1e-05,True,134.69966459274292,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,29,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7137763833428409,0.7144894466628636,,,2,True,False,,f_mmd,test,standardized_l2,0.05,5.621644213716929,4.121667952747718,,True
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.773841961852861,0.7731838045481415,0.7724124606147078,0.8517329528565484,0.4826490425683916,3.688589572906494,0.2583649158477783,ok,,1465,1172,0,367,,30,1e-05,True,3.6882030963897705,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.764505119453925,0.764505119453925,,,0,True,False,,f_mmd,test,standardized_l2,0.05,4.970620801922387,1.6582297571052538,,True
