dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.942325297528227,0.9167850825934668,0.5112255776441306,0.803547370557508,0.1838106657082648,112.04790234565736,7.38751220703125,ok,,26215,20972,0,6554,,90,1e-05,True,101.4335367679596,tabpfn_finetune_epoch_chunks,dataset_val_split,30,21,tabpfn_finetuning_api_grad_accum10,acc,0.9437345031470532,0.9439252336448598,,,4,True,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9857759715519432,0.985796838132534,0.985734976130978,0.9989294942783314,0.0378573106834347,205.7431342601776,12.45156979560852,ok,,31492,25193,0,7874,,90,1e-05,True,205.7426700592041,tabpfn_finetune_epoch_chunks,dataset_val_split,30,26,tabpfn_finetuning_api_grad_accum10,acc,0.9846007302746468,0.9855532624226068,,,12,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8050546101092202,0.8005584603283262,0.7662178665546695,0.8728231596743513,0.4202132868412466,112.30007410049438,8.56992244720459,ok,,31492,25193,0,7874,,90,1e-05,True,112.299706697464,tabpfn_finetune_epoch_chunks,dataset_val_split,30,26,tabpfn_finetuning_api_grad_accum10,acc,0.7982219399904746,0.801238291792348,,,3,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7089552238805971,0.7077771855010662,0.6875738247106071,0.7375679187337585,0.5802922052125769,3.3968567848205566,0.2168047428131103,ok,,1072,857,0,268,,30,1e-05,True,3.3962981700897217,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api_grad_accum10,acc,0.7674418604651163,0.7674418604651163,,,0,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7294285714285714,0.7289793247755599,0.7294053810303285,0.797319066471532,0.5469416418742641,444.5384294986725,36.22022318840027,ok,,56000,44800,0,14000,,150,1e-05,True,444.5380380153656,tabpfn_finetune_epoch_chunks,dataset_val_split,30,45,tabpfn_finetuning_api_grad_accum10,acc,0.7302678571428571,0.7321428571428571,,,11,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.95,0.9500060764943836,0.9509176863181312,0.9836363320355952,0.1504533167821533,11.025185585021973,0.5629920959472656,ok,,1920,1536,0,480,,30,1e-05,True,11.024728536605837,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.9427083333333334,0.9479166666666666,,,6,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9395833333333332,0.9395872667271414,0.9405589543937708,0.9822545884315907,0.16674081019529,8.703103303909302,0.5587046146392822,ok,,1920,1536,0,480,,30,1e-05,True,8.70276927947998,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.9557291666666666,0.9635416666666666,,,3,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9354166666666668,0.9354208713290132,0.9363876529477198,0.9840621523915464,0.1604995426781051,11.782721996307371,0.5595998764038086,ok,,1920,1536,0,480,,30,1e-05,True,11.782347202301024,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.9192708333333334,0.9270833333333334,,,7,True,False,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.9040178571428572,0.8903296882922794,0.709856230657735,0.9038860814040036,0.253105558445828,6.544384956359863,0.4281654357910156,ok,,1792,1433,0,448,,30,1e-05,True,6.544043302536011,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.8746518105849582,0.8774373259052924,,,2,True,False,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6781818181818182,0.6666703320897692,0.727645065261014,0.7338551867501379,0.5046384581123174,46.59832191467285,1.5849816799163818,ok,,8799,7039,0,2200,,30,1e-05,True,46.597984075546265,tabpfn_finetune_epoch_chunks,dataset_val_split,30,8,tabpfn_finetuning_api_grad_accum10,acc,0.6835227272727272,0.6857954545454545,,,10,True,False,
