dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9420201403722918,0.9146372655557322,0.5023956074476835,0.8004170360954141,0.18817415500714696,88.78398084640503,7.3758461475372314,ok,,26215,20972,0,6554,,90,1e-05,True,84.58782982826233,tabpfn_finetune_epoch_chunks,dataset_val_split,30,21,tabpfn_finetuning_api_grad_accum10,acc,0.9422086591646004,0.942399389662407,,,2,True,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9850139700279401,0.9850397566593182,0.9851541436043564,0.9988525573748114,0.039430859640762594,84.89615035057068,12.417857885360718,ok,,31492,25193,0,7874,,90,1e-05,True,84.89574670791626,tabpfn_finetune_epoch_chunks,dataset_val_split,30,26,tabpfn_finetuning_api_grad_accum10,acc,0.9857120177806001,0.9857120177806001,,,0,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8046736093472187,0.8001562995356071,0.765754710931462,0.8700419128259625,0.42414371971436016,110.69944071769714,8.56044602394104,ok,,31492,25193,0,7874,,90,1e-05,True,110.69901251792908,tabpfn_finetune_epoch_chunks,dataset_val_split,30,26,tabpfn_finetuning_api_grad_accum10,acc,0.796475631052548,0.7982219399904746,,,3,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.6977611940298507,0.6968589886388951,0.6766477675407512,0.7400188991259153,0.5798778231199437,3.3822693824768066,0.21523475646972656,ok,,1072,857,0,268,,30,1e-05,True,3.3819050788879395,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api_grad_accum10,acc,0.7767441860465116,0.7767441860465116,,,0,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7283571428571428,0.7279171455469631,0.7283342378234245,0.7972691378838,0.5479867710127162,312.8106017112732,36.24593663215637,ok,,56000,44800,0,14000,,150,1e-05,True,312.81023812294006,tabpfn_finetune_epoch_chunks,dataset_val_split,30,45,tabpfn_finetuning_api_grad_accum10,acc,0.7310714285714286,0.731875,,,6,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.95,0.9500060764943835,0.9509176863181312,0.9841316740823137,0.14829394551039568,8.682938814163208,0.5655539035797119,ok,,1920,1536,0,480,,30,1e-05,True,8.682389736175537,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.9427083333333334,0.9453125,,,2,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9458333333333333,0.9458399162022488,0.9467463848720801,0.982497914349277,0.167125416494553,9.700220823287964,0.56485915184021,ok,,1920,1536,0,480,,30,1e-05,True,9.69991159439087,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.9505208333333334,0.953125,,,4,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9395833333333333,0.9395977572797974,0.9402808676307007,0.9848964126807562,0.15563689224127675,14.687090396881104,0.5596177577972412,ok,,1920,1536,0,480,,30,1e-05,True,14.686794519424438,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.9088541666666666,0.9348958333333334,,,11,True,False,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.9017857142857143,0.885961715513273,0.6962431934814118,0.9006737963724684,0.2556020310610231,5.270193099975586,0.4159812927246094,ok,,1792,1433,0,448,,30,1e-05,True,5.269890785217285,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.871866295264624,0.871866295264624,,,0,True,False,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6772727272727272,0.6662362558035447,0.7259689979057744,0.7318425320981496,0.5051581462596195,37.07673931121826,1.5693891048431396,ok,,8799,7039,0,2200,,30,1e-05,True,37.0763738155365,tabpfn_finetune_epoch_chunks,dataset_val_split,30,8,tabpfn_finetuning_api_grad_accum10,acc,0.6840909090909091,0.6852272727272727,,,6,True,False,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data184/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7468354430379747,0.7465408796182229,0.7456184592754511,0.8244759202724968,0.5155203861086105,52.33991289138794,2.732184410095215,ok,,7896,6316,0,1975,,30,1e-05,True,52.33960318565369,tabpfn_finetune_epoch_chunks,dataset_val_split,30,7,tabpfn_finetuning_api_grad_accum10,acc,0.75,0.7518987341772152,,,9,True,False,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7147746719908727,0.7148359151494806,0.7149444126393436,0.7861461670719341,0.557656118557721,234.2875611782074,17.176226377487183,ok,,35060,28048,0,8765,,90,1e-05,True,234.28707242012024,tabpfn_finetune_epoch_chunks,dataset_val_split,30,29,tabpfn_finetuning_api_grad_accum10,acc,0.7092127780946949,0.7156303479749002,,,9,True,False,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.782016348773842,0.7814472602942414,0.7806759407883004,0.8518369894774389,0.48253251135687414,3.490163564682007,0.2461869716644287,ok,,1465,1172,0,367,,30,1e-05,True,3.489737033843994,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.764505119453925,0.764505119453925,,,0,True,False,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7091842555618939,0.7092095217110617,0.709027956694732,0.7797246374273978,0.5650918079819813,308.3101894855499,17.207095861434937,ok,,35060,28048,0,8765,,90,1e-05,True,308.30983304977417,tabpfn_finetune_epoch_chunks,dataset_val_split,30,29,tabpfn_finetuning_api_grad_accum10,acc,0.7000855675984028,0.7157729606389047,,,15,True,False,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7138964577656676,0.7138837123132904,0.7139166072701355,0.7920081967213115,0.5533627396257538,6.251347780227661,0.2508831024169922,ok,,1467,1173,0,367,,30,1e-05,True,6.250905275344849,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.7040816326530612,0.717687074829932,,,7,True,False,
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data184/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8550925925925926,0.8487211209897041,0.6983527330387629,0.9615593174623553,0.36529077370950674,20.814335584640503,1.709254503250122,ok,,8640,6912,0,2160,,30,1e-05,True,20.813905477523804,tabpfn_finetune_epoch_chunks,dataset_val_split,30,7,tabpfn_finetuning_api_grad_accum10,acc,0.8466435185185185,0.8466435185185185,,,0,True,False,
