dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data184/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7631447170756134,0.7628126592426039,0.7629546418324793,0.9163374419726603,0.5452256872395613,49.83483624458313,0.9836437702178955,ok,,7987,6389,0,1997,,30,1e-05,True,45.3933527469635,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,7,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7759699624530664,0.7784730913642053,,,2,True,False,,f_mmd,test,standardized_l2,0.05,2.90756050625017,0.495125020668522,,True
BNG(cmc),/home/crc00006699/zh/tabiclv2/data184/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5794755877034358,0.5751996986524074,0.5549492127933121,0.7605080515047811,0.8822157704455738,308.2079110145569,12.744913816452026,ok,,44236,35388,0,11060,,120,1e-05,True,308.2074456214905,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,36,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.5774186256781193,0.5786618444846293,,,3,True,False,,f_mmd,test,standardized_l2,0.05,3.0339005355878585,0.4265992276980714,,True
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.874,0.8635657806224138,0.741636860280928,0.885548105887089,0.3125838270144165,56.60288596153259,1.1133849620819092,ok,,8000,6400,0,2000,,30,1e-05,True,56.60247015953064,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,7,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.870625,0.87125,,,4,True,False,,f_mmd,test,standardized_l2,0.05,2.207558986826103,0.38425634547549403,,True
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data184/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9227228682170543,0.9227228727519954,0.9227229674455617,0.9775620027252914,0.19214959187507208,169.60961985588074,2.7233564853668213,ok,,16512,13209,0,4128,,60,1e-05,True,169.60921001434326,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,14,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9097789887980624,0.9173478655767484,,,10,True,False,,f_mmd,test,standardized_l2,0.05,7.308322452233717,9.766852027047266,,True
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data184/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8339173967459325,0.7634333243135208,0.5106125313435667,0.6255502736048478,0.44010404226339744,191.64463210105896,7.006629705429077,ok,,31958,25566,0,7990,,90,1e-05,True,191.64348244667053,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,26,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.8335419274092616,0.8338548185231539,,,2,True,False,,f_mmd,test,standardized_l2,0.05,151.22038851624592,448.35134521313535,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.975,0.975,0.9749721913236931,0.9964891546162402,0.07925927154468783,15.70840835571289,0.47269463539123535,ok,,1920,1536,0,480,,30,1e-05,True,15.70785665512085,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9739583333333334,0.9791666666666666,,,7,True,False,,f_mmd,test,standardized_l2,0.05,3.3164216657329444,0.44553244638017875,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9604166666666667,0.9604261207781286,0.9607202447163515,0.9926133203559511,0.11437385916988298,10.768610715866089,0.4799158573150635,ok,,1920,1536,0,480,,30,1e-05,True,10.768115043640137,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9739583333333334,0.9739583333333334,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.0202605979733446,0.37753700222061154,,True
Credit_c,/home/crc00006699/zh/tabiclv2/data184/Credit_c,multiclass,80000,16000,20000,22,3,0.7994,0.7995629549682821,0.7965539861009545,0.9164103871566628,0.49347757111690416,494.28659749031067,28.954224348068237,ok,,80000,64000,0,20000,,210,1e-05,True,494.28573846817017,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,64,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.813125,0.813125,,,0,True,False,,f_mmd,test,standardized_l2,0.05,1.636137038460405e+87,5.17946158873326e+86,,True
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data184/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7489177489177489,0.7489177489177489,0.7478545618789522,0.8331827762722074,0.5013176789349998,12.804412126541138,0.49304890632629395,ok,,920,736,0,231,,30,1e-05,True,12.803832054138184,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7391304347826086,0.7554347826086957,,,4,True,False,,f_mmd,test,standardized_l2,0.05,8.221732014082974,6.802277606946492,,True
Employee,/home/crc00006699/zh/tabiclv2/data184/Employee,binclass,3722,745,931,8,2,0.8528464017185822,0.8446762575963129,0.7993325490998364,0.8718698854337152,0.35897595576518665,20.260841846466064,0.6347479820251465,ok,,3722,2977,0,931,,30,1e-05,True,20.260390043258667,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,3,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.8483221476510067,0.851006711409396,,,3,True,False,,f_mmd,test,standardized_l2,0.05,2.650811911003182,0.3231388194256648,,True
