dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9465974977113213,0.9317208396738584,0.5828369991347355,0.8239103543311294,0.1715565978288799,179.74177527427673,5.247011184692383,ok,,26215,20972,0,6554,,90,1e-05,True,173.00004506111145,tabpfn_finetune_epoch_chunks,dataset_val_split,30,21,tabpfn_finetuning_api_grad_accum10,acc,0.9477398436009918,0.9485027655922182,,,3,True,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9871729743459486,0.987182462945509,0.9865365421703925,0.9990969830227806,0.034994710184350394,149.83755373954773,7.294402122497559,ok,,31492,25193,0,7874,,90,1e-05,True,149.8371078968048,tabpfn_finetune_epoch_chunks,dataset_val_split,30,26,tabpfn_finetuning_api_grad_accum10,acc,0.9868233052865534,0.9868233052865534,,,0,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.7010414020828042,0.7082004558835931,0.7195554446212135,0.797821627684372,0.5724630876809209,155.30241513252258,7.313740253448486,ok,,31492,25193,0,7874,,90,1e-05,True,155.30195665359497,tabpfn_finetune_epoch_chunks,dataset_val_split,30,26,tabpfn_finetuning_api_grad_accum10,acc,0.8107636132719479,0.8107636132719479,,,0,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7052238805970149,0.7023113622054402,0.6788920387432081,0.734467280888259,0.5806565853699841,8.263237476348877,0.47883081436157227,ok,,1072,857,0,268,,30,1e-05,True,8.262845754623413,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api_grad_accum10,acc,0.7674418604651163,0.7674418604651163,,,0,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7281428571428571,0.7281208570097553,0.728137788779686,0.7934635550085076,0.5530430316324543,290.16539335250854,19.628061294555664,ok,,56000,44800,0,14000,,150,1e-05,True,290.16488909721375,tabpfn_finetune_epoch_chunks,dataset_val_split,30,45,tabpfn_finetuning_api_grad_accum10,acc,0.7348214285714286,0.7348214285714286,,,0,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9666666666666667,0.966675348578771,0.9673248053392658,0.9923004727474972,0.09609609547288094,11.568451166152954,0.46179723739624023,ok,,1920,1536,0,480,,30,1e-05,True,11.567841053009033,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.9713541666666666,0.9739583333333334,,,3,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9541666666666667,0.954176215940922,0.9549499443826474,0.9914835928809789,0.11473676642727358,10.571166753768921,0.4645199775695801,ok,,1920,1536,0,480,,30,1e-05,True,10.570787191390991,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.9791666666666666,0.9817708333333334,,,2,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9625,0.9625104195609891,0.9630144605116797,0.9936909065628476,0.10894099462665897,8.517322540283203,0.501248836517334,ok,,1920,1536,0,480,,30,1e-05,True,8.516974449157715,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.9583333333333334,0.9583333333333334,,,0,True,False,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8973214285714286,0.886655906722531,0.718219924002037,0.8926039095859286,0.26311513693183275,8.772135257720947,0.46285319328308105,ok,,1792,1433,0,448,,30,1e-05,True,8.771666288375854,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.883008356545961,0.883008356545961,,,0,True,False,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6772727272727272,0.6680531097360669,0.7232256397090581,0.7272973156304443,0.5059392807193884,103.65960717201233,1.2316625118255615,ok,,8799,7039,0,2200,,30,1e-05,True,103.65924882888794,tabpfn_finetune_epoch_chunks,dataset_val_split,30,8,tabpfn_finetuning_api_grad_accum10,acc,0.6863636363636364,0.6892045454545455,,,12,True,False,
