dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9420201403722918,0.9146372655557322,0.5023956074476835,0.827233824362001,0.172710402033117,127.04671120643616,5.28023099899292,ok,,26215,20972,0,6554,,90,1e-05,True,123.07764792442322,tabpfn_finetune_epoch_chunks,dataset_val_split,30,21,tabpfn_finetuning_api_grad_accum10,acc,0.9485027655922182,0.9485027655922182,,,0,True,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9874269748539496,0.9874330109185436,0.9865546239507832,0.9990901219519605,0.0351472416977343,148.3186445236206,7.307682514190674,ok,,31492,25193,0,7874,,90,1e-05,True,148.3179588317871,tabpfn_finetune_epoch_chunks,dataset_val_split,30,26,tabpfn_finetuning_api_grad_accum10,acc,0.9868233052865534,0.9868233052865534,,,0,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.7616205232410465,0.754616405203459,0.7141893516839044,0.8272795708406757,0.503943225389765,153.05337405204773,7.34678053855896,ok,,31492,25193,0,7874,,90,1e-05,True,153.05296969413757,tabpfn_finetune_epoch_chunks,dataset_val_split,30,26,tabpfn_finetuning_api_grad_accum10,acc,0.8109223686299413,0.8109223686299413,,,0,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7014925373134329,0.7041873963515755,0.6947791164658634,0.7396645405150011,0.5889281610027883,7.764921188354492,0.4567222595214844,ok,,1072,857,0,268,,30,1e-05,True,7.764566421508789,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api_grad_accum10,acc,0.772093023255814,0.772093023255814,,,0,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7343571428571428,0.7339360014155324,0.7343344846806481,0.8004804246466692,0.5431588787536997,321.4196455478668,19.609699964523315,ok,,56000,44800,0,14000,,150,1e-05,True,321.4192373752594,tabpfn_finetune_epoch_chunks,dataset_val_split,30,45,tabpfn_finetuning_api_grad_accum10,acc,0.7336607142857143,0.734375,,,1,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9666666666666668,0.9666759284986572,0.9671857619577308,0.9894500834260288,0.1180439703323123,8.303399801254272,0.4782724380493164,ok,,1920,1536,0,480,,30,1e-05,True,8.302804470062256,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.9739583333333334,0.9739583333333334,,,0,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9583333333333334,0.958342014491747,0.9591212458286984,0.9912750278086764,0.1155377074056027,10.740368843078612,0.4699490070343017,ok,,1920,1536,0,480,,30,1e-05,True,10.739974975585938,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.9791666666666666,0.984375,,,2,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9520833333333332,0.952096440154742,0.9525166852057844,0.992456896551724,0.1166447604778149,8.192060947418213,0.5669801235198975,ok,,1920,1536,0,480,,30,1e-05,True,8.191722631454468,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.9583333333333334,0.9583333333333334,,,0,True,False,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8950892857142857,0.8847245479040968,0.7169075880440319,0.9089395541975164,0.2512202944582469,8.607540607452393,0.4830353260040283,ok,,1792,1433,0,448,,30,1e-05,True,8.607088088989258,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.8941504178272981,0.8941504178272981,,,0,True,False,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6772727272727272,0.665211366874681,0.7274321222773565,0.7322988998232058,0.5040970157864267,62.962563276290894,1.2409348487854004,ok,,8799,7039,0,2200,,30,1e-05,True,62.96215963363648,tabpfn_finetune_epoch_chunks,dataset_val_split,30,8,tabpfn_finetuning_api_grad_accum10,acc,0.6852272727272727,0.6857954545454545,,,4,True,False,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data184/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7463291139240507,0.7462352440491675,0.7455896975499119,0.8232992575365994,0.516335096615347,48.34218573570252,1.4141850471496582,ok,,7896,6316,0,1975,,30,1e-05,True,48.34177923202515,tabpfn_finetune_epoch_chunks,dataset_val_split,30,7,tabpfn_finetuning_api_grad_accum10,acc,0.7443037974683544,0.7455696202531645,,,2,True,False,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7151169423844838,0.7151457735694727,0.7149889936285924,0.7839604218784213,0.5599768583743197,171.6127486228943,8.752577543258667,ok,,35060,28048,0,8765,,90,1e-05,True,171.61233377456665,tabpfn_finetune_epoch_chunks,dataset_val_split,30,29,tabpfn_finetuning_api_grad_accum10,acc,0.7154877353108956,0.7154877353108956,,,0,True,False,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.782016348773842,0.7819190809618359,0.7814933713810118,0.855091849473872,0.4809837154783909,9.671967029571531,0.469214916229248,ok,,1465,1172,0,367,,30,1e-05,True,9.67141819000244,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.7474402730375427,0.7610921501706485,,,2,True,False,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.6978893325727324,0.6953622277426751,0.6953375787720975,0.7726278009014913,0.578939507372315,370.100640296936,8.747918367385864,ok,,35060,28048,0,8765,,90,1e-05,True,370.1002495288849,tabpfn_finetune_epoch_chunks,dataset_val_split,30,29,tabpfn_finetuning_api_grad_accum10,acc,0.6903879064460924,0.7150598973188819,,,10,True,False,
