dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9450717119316449,0.9341816071224844,0.6105079422729749,0.8259910482518452,0.1764803804126319,68.03402209281921,5.1993372440338135,ok,,26215,20972,0,6554,,90,1e-05,True,64.1818368434906,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.9485027655922182,0.949074957085638,,,4,True,False,,random,none,,,,,,True
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239524,0.9880671889035106,0.9872141801181176,0.9991976835309644,0.0328402254295313,91.92176294326782,7.557148694992065,ok,,31492,25193,0,7874,,90,1e-05,True,91.92131543159483,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.9868233052865534,0.9872995713605334,,,8,True,False,,random,none,,,,,,True
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8159766319532639,0.8136807500239616,0.7859790070754806,0.8845327587143185,0.4023220634677605,100.55537390708923,7.366778135299683,ok,,31492,25193,0,7874,,90,1e-05,True,100.55495643615724,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.8109223686299413,0.8142562311478012,,,8,True,False,,random,none,,,,,,True
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7089552238805971,0.711236006650442,0.7008032128514057,0.7391330025986298,0.5884238790115034,7.880035161972046,0.4807372093200683,ok,,1072,857,0,268,,30,1e-05,True,7.879602909088135,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.772093023255814,0.772093023255814,,,0,True,False,,random,none,,,,,,True
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7331428571428571,0.7329356282086473,0.7331270148986171,0.8002455164066992,0.545056096578256,107.18091869354248,20.03214168548584,ok,,56000,44800,0,14000,,150,1e-05,True,107.18045115470886,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,5,tabpfn_finetuning_api_random,acc,0.7339285714285714,0.7339285714285714,,,0,True,False,,random,none,,,,,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.96875,0.9687585467395412,0.969340934371524,0.992769744160178,0.0977087822860217,15.299450159072876,0.5018520355224609,ok,,1920,1536,0,480,,30,1e-05,True,15.299005031585692,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9739583333333334,0.984375,,,7,True,False,,random,none,,,,,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9541666666666668,0.9541722367865184,0.9550889877641824,0.9909795606229144,0.1180009335013932,10.370678186416626,0.4700984954833984,ok,,1920,1536,0,480,,30,1e-05,True,10.370241165161133,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9791666666666666,0.9817708333333334,,,2,True,False,,random,none,,,,,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9479166666666666,0.9479309112325682,0.948484427141268,0.99103170189099,0.1229031666929741,8.367275953292847,0.4627070426940918,ok,,1920,1536,0,480,,30,1e-05,True,8.366857290267944,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9583333333333334,0.9583333333333334,,,0,True,False,,random,none,,,,,,True
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.890625,0.8829200996492792,0.7265836173463391,0.9049046108042466,0.2502802419888036,8.958624839782715,0.4727809429168701,ok,,1792,1433,0,448,,30,1e-05,True,8.95823359489441,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8941504178272981,0.8941504178272981,,,0,True,False,,random,none,,,,,,True
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6790909090909091,0.668365309163904,0.727492227151776,0.7309559852004626,0.5039355595107965,24.45628499984741,1.239506721496582,ok,,8799,7039,0,2200,,30,1e-05,True,24.45585799217224,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.6852272727272727,0.6875,,,7,True,False,,random,none,,,,,,True
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data184/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7427848101265823,0.7417968862947971,0.7405209570258733,0.8216814104750204,0.5203755334769739,23.32220697402954,1.4236326217651367,ok,,7896,6316,0,1975,,30,1e-05,True,23.32181143760681,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7443037974683544,0.7512658227848101,,,5,True,False,,random,none,,,,,,True
