dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data184/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7621432148222334,0.7617630245998147,0.7617901311524552,0.918962429895684,0.5361668378941062,17.004291534423828,0.9595658779144287,ok,,7987,6389,0,1997,,30,1e-05,True,13.089695692062378,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.7759699624530664,0.7759699624530664,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.914627962138002,0.49124306618476676,,True
BNG(cmc),/home/crc00006699/zh/tabiclv2/data184/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5839963833634719,0.5821012631148555,0.5634974867294938,0.7653076304316729,0.873813075526643,148.47159004211426,12.903124809265137,ok,,44236,35388,0,11060,,120,1e-05,True,148.47108626365662,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,4,tabpfn_finetuning_api_f_mmd,acc,0.5774186256781193,0.5794529837251357,,,8,True,False,,f_mmd,test,standardized_l2,0.05,3.0281701218407795,0.41620806481690553,,True
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8745,0.8643887435096065,0.7437799895427014,0.884633477853817,0.3110190790926815,15.07344937324524,1.1032862663269043,ok,,8000,6400,0,2000,,30,1e-05,True,15.072972059249878,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.870625,0.871875,,,2,True,False,,f_mmd,test,standardized_l2,0.05,2.216024872546399,0.38798311118647283,,True
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data184/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9219961240310077,0.9219955747156743,0.9219949320379006,0.9788971842177229,0.1866848399800649,65.59774541854858,2.7111728191375732,ok,,16512,13209,0,4128,,60,1e-05,True,65.59736514091492,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd,acc,0.9097789887980624,0.9176506206478958,,,17,True,False,,f_mmd,test,standardized_l2,0.05,7.4173576803269805,11.122695161497104,,True
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data184/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8339173967459325,0.762989238915188,0.5100201010329622,0.6261392933596814,0.43840416640607427,71.79544949531555,7.06720232963562,ok,,31958,25566,0,7990,,90,1e-05,True,71.79499316215515,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,3,tabpfn_finetuning_api_f_mmd,acc,0.8335419274092616,0.8340112640801002,,,5,True,False,,f_mmd,test,standardized_l2,0.05,10.850846184245832,106.74898061609119,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9729166666666667,0.9729212544502405,0.97309510567297,0.9964891546162403,0.07330533455940415,7.8941330909729,0.43839550018310547,ok,,1920,1536,0,480,,30,1e-05,True,7.893761396408081,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9739583333333334,0.9739583333333334,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.316421665732944,0.44553244638018075,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9708333333333333,0.9708333333333333,0.9708008898776419,0.9941080367074527,0.0962632062818559,10.65360140800476,0.44778013229370117,ok,,1920,1536,0,480,,30,1e-05,True,10.653243064880371,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9739583333333334,0.9791666666666666,,,3,True,False,,f_mmd,test,standardized_l2,0.05,3.020260597973345,0.3775370022206092,,True
Credit_c,/home/crc00006699/zh/tabiclv2/data184/Credit_c,multiclass,80000,16000,20000,22,3,0.8131,0.8131557404912894,0.8211690441751177,0.926271465559795,0.4449208256633967,615.3029677867889,28.87110996246338,ok,,80000,64000,0,20000,,210,1e-05,True,615.3024876117706,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,7,tabpfn_finetuning_api_f_mmd,acc,0.8130625,0.8259375,,,24,False,False,,f_mmd,test,standardized_l2,0.05,7.882095831881583e+86,8.766382736881265e+86,,True
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data184/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7532467532467533,0.7531724089863625,0.7519196025293586,0.8327311050888286,0.5022101758690253,11.776297092437744,0.4638044834136963,ok,,920,736,0,231,,30,1e-05,True,11.775816202163696,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.7391304347826086,0.7554347826086957,,,4,True,False,,f_mmd,test,standardized_l2,0.05,8.221732014082974,6.802277606946492,,True
Employee,/home/crc00006699/zh/tabiclv2/data184/Employee,binclass,3722,745,931,8,2,0.8517722878625135,0.8447285957211687,0.8022350654664485,0.8746266366612112,0.35433162143514524,10.707306146621704,0.5929584503173828,ok,,3722,2977,0,931,,30,1e-05,True,10.706935167312622,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.8483221476510067,0.8523489932885906,,,2,True,False,,f_mmd,test,standardized_l2,0.05,2.6504665867709893,0.32383510098649365,,True
