dataset_name,accuracy_random,accuracy_f_mmd,delta_accuracy,f1_random,f1_f_mmd,delta_f1,balanced_accuracy_random,balanced_accuracy_f_mmd,delta_balanced_accuracy,roc_auc_random,roc_auc_f_mmd,delta_roc_auc,log_loss_random,log_loss_f_mmd,delta_log_loss,fit_seconds_random,fit_seconds_f_mmd,delta_fit_seconds,predict_seconds_random,predict_seconds_f_mmd,delta_predict_seconds,task_type_random,n_train_random,n_val_random,n_test_random,n_features_random,n_classes_random,ttt_c_selection_random,ttt_c_selection_f_mmd,ttt_c_source_random,ttt_c_source_f_mmd,ttt_c_f_distance_mean_f_mmd
Amazon_employee_access,0.9450717119316449,0.9470552334452242,0.0019835215135793893,0.9341816071224844,0.9341703784312618,-1.1228691222608944e-05,0.6105079422729749,0.5991776783139093,-0.011330263959065556,0.8259910482518452,0.8282565455652526,0.0022654973134074163,0.1764803804126319,0.1681544615447194,-0.00832591886791248,68.03402209281921,102.87023186683656,34.83620977401735,5.1993372440338135,5.258283853530884,0.05894660949707031,binclass,26215,5243,6554,7,2,random,f_mmd,none,test,3.549333827957776
BNG(breast-w),0.9880619761239524,0.988950977901956,0.0008890017780035508,0.9880671889035106,0.988962003008248,0.0008948141047373515,0.9872141801181176,0.988769463374925,0.001555283256807427,0.9991976835309644,0.999194824751456,-2.858779508341236e-06,0.0328402254295313,0.0330928505730672,0.0002526251435358978,91.92176294326782,47.124629974365234,-44.79713296890259,7.557148694992065,7.386147260665893,-0.17100143432617276,binclass,31492,6299,7874,9,2,random,f_mmd,none,test,4.266423304488522
BNG(tic-tac-toe),0.8159766319532639,0.8136906273812547,-0.002286004572009115,0.8136807500239616,0.8115673065092915,-0.0021134435146700215,0.7859790070754806,0.7843140666999612,-0.0016649403755194525,0.8845327587143185,0.883797190006543,-0.0007355687077754691,0.4023220634677605,0.40576037454222,0.0034383110744595213,100.55537390708923,51.53598618507385,-49.01938772201538,7.366778135299683,7.367387056350708,0.0006089210510253906,binclass,31492,6299,7874,9,2,random,f_mmd,none,test,1.841057671117845
Basketball_c,0.7089552238805971,0.7014925373134329,-0.007462686567164201,0.711236006650442,0.7002842928216062,-0.010951713828835752,0.7008032128514057,0.6796598157335223,-0.021143397117883378,0.7391330025986298,0.7256083156154027,-0.013524686983227063,0.5884238790115034,0.6013707869702611,0.012946907958757747,7.880035161972046,9.250712871551514,1.3706777095794678,0.4807372093200683,0.4299445152282715,-0.05079269409179682,binclass,1072,215,268,11,2,random,f_mmd,none,test,4.580026916701443
Cardiovascular-Disease-dataset,0.7331428571428571,0.7351428571428571,0.0020000000000000018,0.7329356282086473,0.7346224005034468,0.0016867722947995212,0.7331270148986171,0.7351176277935112,0.001990612894894106,0.8002455164066992,0.7998223427991322,-0.0004231736075669401,0.545056096578256,0.5438842007565545,-0.0011718958217015185,107.18091869354248,106.26096510887146,-0.9199535846710205,20.03214168548584,19.713658094406128,-0.3184835910797119,binclass,56000,11200,14000,11,2,random,f_mmd,none,test,7.548608025067839
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),0.96875,0.9708333333333332,0.002083333333333215,0.9687585467395412,0.970836877955057,0.0020783312155158162,0.969340934371524,0.9717741935483872,0.0024332591768632117,0.992769744160178,0.9911359844271412,-0.0016337597330368103,0.0977087822860217,0.1072742565048219,0.009565474218800205,15.299450159072876,18.88447856903076,3.5850284099578857,0.5018520355224609,0.4514861106872558,-0.050365924835205134,binclass,1920,384,480,30,2,random,f_mmd,none,test,3.474111017300537
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),0.9541666666666668,0.95625,0.002083333333333215,0.9541722367865184,0.9562574058882508,0.002085169101732398,0.9550889877641824,0.9571051167964404,0.002016129032258007,0.9909795606229144,0.9906493325917686,-0.00033022803114579613,0.1180009335013932,0.1198332029502713,0.0018322694488781127,10.370678186416626,9.86565399169922,-0.5050241947174055,0.4700984954833984,0.4430630207061767,-0.02703547477722168,binclass,1920,384,480,30,2,random,f_mmd,none,test,2.7700159416008105
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),0.9479166666666666,0.9479166666666666,0.0,0.9479309112325682,0.947930913211676,1.979107766558741e-09,0.948484427141268,0.948345383759733,-0.00013904338153503115,0.99103170189099,0.9912228865406006,0.00019118464961065396,0.1229031666929741,0.1263158453580369,0.003412678665062785,8.367275953292847,7.924235105514526,-0.4430408477783203,0.4627070426940918,0.4729502201080322,0.01024317741394043,binclass,1920,384,480,30,2,random,f_mmd,none,test,3.0647206884737748
Customer_Personality_Analysis,0.890625,0.8995535714285714,0.008928571428571397,0.8829200996492792,0.891567036488077,0.008646936838797803,0.7265836173463391,0.7379833117875191,0.011399694441179942,0.9049046108042466,0.9069024953970306,0.0019978845927840494,0.2502802419888036,0.2497313441066953,-0.0005488978821082957,8.958624839782715,8.360658407211304,-0.5979664325714111,0.4727809429168701,0.457444429397583,-0.01533651351928711,binclass,1792,359,448,24,2,random,f_mmd,none,test,4.669495286517383
E-CommereShippingData,0.6790909090909091,0.6763636363636364,-0.0027272727272726893,0.668365309163904,0.6655468840293195,-0.0028184251345845235,0.727492227151776,0.7246587116434304,-0.002833515508345541,0.7309559852004626,0.7326045760416818,0.0016485908412192662,0.5039355595107965,0.5039256266039168,-9.932906879672743e-06,24.45628499984741,17.96670436859131,-6.4895806312561,1.239506721496582,1.2243101596832275,-0.015196561813354492,binclass,8799,1760,2200,10,2,random,f_mmd,none,test,2.462655441028008
FICO-HELOC-cleaned,0.7427848101265823,0.7362025316455696,-0.006582278481012671,0.7417968862947971,0.7336382483667158,-0.008158637928081358,0.7405209570258733,0.7324923267825079,-0.00802863024336542,0.8216814104750204,0.8164267459394607,-0.005254664535559672,0.5203755334769739,0.5383858168439137,0.018010283366939883,23.32220697402954,14.422635555267334,-8.899571418762207,1.4236326217651367,1.389695405960083,-0.03393721580505371,binclass,7896,1580,1975,23,2,random,f_mmd,none,test,4.485100134651463
FOREX_audcad-hour-High,0.7148887621220764,0.7136337706788363,-0.0012549914432401499,0.7149500539824737,0.7134261701839197,-0.0015238837985539488,0.7150753416112752,0.7129186222634802,-0.002156719347794933,0.789245184184885,0.7877488679659616,-0.0014963162189234325,0.5547165553686841,0.556193101227825,0.0014765458591408098,56.99611973762512,61.57245945930481,4.5763397216796875,9.48857879638672,8.814378023147583,-0.6742007732391375,binclass,35060,7012,8765,10,2,random,f_mmd,none,test,5.705233560224857
FOREX_audjpy-day-High,0.7929155313351499,0.773841961852861,-0.019073569482288888,0.7924895078307409,0.7728784291129207,-0.019611078717820196,0.7917484097259377,0.7720854883776231,-0.0196629213483146,0.8539028595208371,0.8460852505796326,-0.007817608941204535,0.4868904061680786,0.5629401668375263,0.07604976066944774,11.820612668991089,17.898193836212158,6.077581167221069,0.4794297218322754,0.4326567649841308,-0.04677295684814459,binclass,1465,293,367,10,2,random,f_mmd,none,test,4.970620801922388
FOREX_audsgd-hour-High,0.7064460924130063,0.7106674272675414,0.00422133485453513,0.7065101101552864,0.7106347395205298,0.004124629365243382,0.7066113271316201,0.7103133447312118,0.003702017599591656,0.7771585514105186,0.7801733715708394,0.0030148201603208413,0.5719959264200599,0.5741077782615319,0.002111851841472001,162.50005435943604,132.91758847236633,-29.582465887069702,8.723124504089355,8.784236907958984,0.061112403869628906,binclass,35060,7012,8765,10,2,random,f_mmd,none,test,4.311774586375166
FOREX_cadjpy-day-High,0.7111716621253406,0.7193460490463215,0.008174386920980936,0.7039070053616947,0.7191959499973437,0.015288944635649004,0.7116001425516749,0.7194107864100736,0.0078106438583986915,0.7810643858398669,0.7922606319790924,0.01119624613922543,0.5958858769525862,0.5516998134757962,-0.044186063476789994,7.920401334762573,15.200215578079224,7.27981424331665,0.4687860012054443,0.4346349239349365,-0.03415107727050776,binclass,1467,294,367,10,2,random,f_mmd,none,test,5.276405738110375
Firm-Teacher_Clave-Direction_Classification,0.8731481481481481,0.8814814814814815,0.008333333333333415,0.8707146705930869,0.8803063278965895,0.009591657303502532,0.7910120854921663,0.8091329555077846,0.01812087001561835,0.9704393633201536,0.9715570674614362,0.0011177041412826494,0.3193081879623482,0.3108247911536673,-0.008483396808680932,37.29038310050965,34.94463849067688,-2.3457446098327708,1.405182123184204,1.378260612487793,-0.026921510696411133,multiclass,8640,1728,2160,16,4,random,f_mmd,none,test,1.2743595976531008
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.675,0.678125,0.0031249999999999334,0.6693032314479908,0.6732719396504724,0.00396870820248163,0.675,0.6781250000000001,0.0031250000000000444,0.7472656249999999,0.743125,-0.004140624999999898,0.5947689303410832,0.5912384940710734,-0.003530436270009818,8.878027200698853,11.225179672241213,2.34715247154236,0.4901998043060303,0.4598100185394287,-0.030389785766601562,binclass,1280,256,320,20,2,random,f_mmd,none,test,2.2510247822932192
Gender_Gap_in_Spanish_WP,0.6073684210526316,0.6052631578947368,-0.002105263157894721,0.5508862643555095,0.5503093696515231,-0.0005768947039863637,0.4157822119059017,0.418688138821,0.002905926915098278,0.7022620959704057,0.6988996669222387,-0.0033624290481669705,0.7969275763409027,0.797875216261289,0.0009476399203862673,11.127746343612673,8.391871452331543,-2.7358748912811297,0.6473388671875,0.6209118366241455,-0.026427030563354492,multiclass,3796,760,950,13,3,random,f_mmd,none,test,16.147780497995985
HR_Analytics_Job_Change_of_Data_Scientists,0.8024530271398748,0.8024530271398748,0.0,0.804575257903581,0.8044515944482326,-0.00012366345534842171,0.7474195961106955,0.7467200599810375,-0.0006995361296580072,0.8105782091947873,0.8106815745750281,0.00010336538024080522,0.4308719889491304,0.4304620215109985,-0.0004099674381319307,27.65243411064148,30.110306978225708,2.4578728675842285,2.5703065395355225,2.567206859588623,-0.003099679946899414,binclass,15326,3066,3832,13,2,random,f_mmd,none,test,2.577437862716649
INNHotelsGroup,0.903790489317712,0.9003445899379738,-0.00344589937973816,0.9029275668715078,0.8996415466663557,-0.003286020205152118,0.882510970671339,0.8802719895099667,-0.002238981161372333,0.9616163199915548,0.9616702656298756,5.3945638320729294e-05,0.2250514689388694,0.2251892457981202,0.00013777685925078775,64.0415050983429,106.57892322540285,42.53741812705995,7.042298078536987,6.934845447540283,-0.1074526309967041,binclass,29020,5804,7255,17,2,random,f_mmd,none,test,6.173421993135033
Intersectional-Bias-Assessment,0.9472727272727272,0.9463636363636364,-0.0009090909090907484,0.9472731630367524,0.9463640796408344,-0.0009090833959179978,0.9472995187408416,0.9463903910158344,-0.000909127725007175,0.9904285380151758,0.990312004370425,-0.00011653364475083805,0.128876931491068,0.1301451954757202,0.0012682639846522126,23.39620041847229,20.99337673187256,-2.4028236865997314,1.4998109340667725,1.4453659057617188,-0.05444502830505371,binclass,8800,1760,2200,19,2,random,f_mmd,none,test,2.246525388968872
JapaneseVowels,0.9989964877069744,0.9989964877069744,0.0,0.9989960803818158,0.9989960803818158,0.0,0.9987928379401247,0.9987928379401247,0.0,0.999998157779988,0.999998180564028,2.2784039988010818e-08,0.0048273669656399,0.0048497160319046,2.2349066264699957e-05,29.26097798347473,16.483933448791504,-12.777044534683228,1.203678846359253,1.186948299407959,-0.016730546951293945,multiclass,7968,1594,1993,14,9,random,f_mmd,none,test,2.451838212173457
KDDCup09_upselling,0.8148148148148148,0.8187134502923976,0.003898635477582846,0.8138983400350551,0.8173076923076924,0.0034093522726372782,0.8148148148148148,0.8187134502923976,0.003898635477582846,0.912736682511998,0.9127898802670528,5.319775505474578e-05,0.3519923255290391,0.3540488827481047,0.0020565572190656134,33.97381329536438,18.802016973495483,-15.171796321868896,1.3045055866241455,1.2768723964691162,-0.027633190155029297,binclass,4102,821,1026,49,2,random,f_mmd,none,test,7.833671778281264
MIC,0.9030303030303032,0.9090909090909092,0.006060606060605989,0.8941558441558441,0.902972027972028,0.008816183816183876,0.7423571579169301,0.769976807927472,0.027619650010541896,0.8840396373603205,0.885164101482887,0.0011244641225665042,0.2665500938865575,0.2682656031242476,0.0017155092376900938,12.71725082397461,12.755785942077637,0.038535118103027344,0.7385702133178711,0.5939550399780273,-0.14461517333984375,binclass,1319,264,330,104,2,random,f_mmd,none,test,5.712530890529896
Marketing_Campaign,0.8861607142857143,0.8705357142857143,-0.015625,0.8699259093699128,0.8528364431414882,-0.017089466228424555,0.6747561405570572,0.6471187370235437,-0.027637403533513516,0.9307008265757823,0.9234144239432758,-0.007286402632506572,0.2345622793186054,0.2414888606341341,0.0069265813155287015,8.81807279586792,8.670616388320923,-0.14745640754699707,0.4841899871826172,0.4545729160308838,-0.0296170711517334,binclass,1792,359,448,27,2,random,f_mmd,none,test,4.270192666814627
National_Health_and_Nutrition_Health_Survey,0.8355263157894737,0.8333333333333334,-0.002192982456140302,0.7885534022230477,0.7899080947331213,0.0013546925100735852,0.5361958582209664,0.5404342072320183,0.004238349011051912,0.7694838871204264,0.7719875532029044,0.0025036660824779844,0.3828058391395953,0.3807357545557031,-0.00207008458389224,14.83202052116394,10.257220029830933,-4.574800491333008,0.5727264881134033,0.4236152172088623,-0.14911127090454102,binclass,1822,365,456,7,2,random,f_mmd,none,test,7.836993826876294
PhishingWebsites,0.9773857982813208,0.9764812302125736,-0.0009045680687471691,0.9773575845045794,0.9764430383915464,-0.0009145461130329879,0.9759462192675608,0.9747177506258392,-0.0012284686417215473,0.998050365556458,0.998194598716822,0.00014423316036404898,0.0552336094530958,0.0545551933506926,-0.0006784161024031982,33.366337060928345,33.389817237854004,0.02348017692565918,1.7845337390899658,1.7561874389648438,-0.02834630012512207,binclass,8844,1769,2211,30,2,random,f_mmd,none,test,3.127134346417664
Pima_Indians_Diabetes_Database,0.7597402597402597,0.7597402597402597,0.0,0.7539924190641895,0.7568387094790126,0.002846290414823094,0.717037037037037,0.7255555555555555,0.00851851851851848,0.8681481481481481,0.8572222222222222,-0.010925925925925895,0.4501965919687013,0.4565341549649517,0.006337562996250379,11.50687551498413,7.312267780303955,-4.194607734680176,0.4600379467010498,0.4256448745727539,-0.0343930721282959,binclass,614,123,154,8,2,random,f_mmd,none,test,4.29744305286492
Pumpkin_Seeds,0.866,0.884,0.018000000000000016,0.8648546915716654,0.8838602970694501,0.01900560549778474,0.8628205128205129,0.8830128205128205,0.02019230769230762,0.9448878205128204,0.9457532051282048,0.0008653846153844347,0.3767257361504,0.3069203095632574,-0.06980542658714262,8.05547833442688,11.015461206436155,2.9599828720092756,0.6376228332519531,0.5942587852478027,-0.04336404800415039,binclass,2000,400,500,12,2,random,f_mmd,none,test,4.323479325957341
Rain_in_Australia,0.8596177643338375,0.8561460195242678,-0.003471744809569688,0.8533517699241645,0.8470975936986341,-0.006254176225530372,0.7232006057390744,0.6961587778166107,-0.02704182792246368,0.9219524988930612,0.9184537496420532,-0.0034987492510080154,0.3437694668604421,0.3517409885395798,0.007971521679137727,319.6074318885803,616.0344064235687,296.4269745349884,33.01152205467224,32.497501373291016,-0.5140206813812256,multiclass,116368,23274,29092,18,3,random,f_mmd,none,test,3.803965823724399
Shipping,0.6909090909090909,0.6881818181818182,-0.0027272727272726893,0.6812510258107868,0.6790054852098922,-0.0022455406008945467,0.7331257066063697,0.7294780178758079,-0.00364768873056176,0.7361914716610849,0.7380763241536722,0.0018848524925872967,0.4987569619835652,0.4998129987956693,0.0010560368121041441,18.51113986968994,19.442939043045044,0.9317991733551025,1.2245714664459229,1.203728437423706,-0.020843029022216797,binclass,8799,1760,2200,9,2,random,f_mmd,none,test,2.571875357830136
VulNoneVul,0.9894644424934153,0.9894644424934153,0.0,0.9842245601854184,0.9842245601854184,0.0,0.5,0.5,0.0,0.821354628808045,0.8151434486838214,-0.006211180124223614,0.0492539806861057,0.0508002159001685,0.0015462352140627952,9.465019464492798,8.988601684570312,-0.47641777992248535,0.7588624954223633,0.7484443187713623,-0.010418176651000977,binclass,4553,911,1139,16,2,random,f_mmd,none,test,10.160203666004811
Waterstress,0.7815126050420168,0.7815126050420168,0.0,0.7810183246151058,0.7805845169926378,-0.00043380762246802984,0.7835277483209615,0.7840933191940616,0.0005655708731000519,0.8599505125486037,0.8606574761399787,0.0007069635913750094,0.4591542751223279,0.4632769614034453,0.004122686281117394,10.10526704788208,9.32471227645874,-0.7805547714233398,0.4683718681335449,0.4395771026611328,-0.02879476547241211,binclass,950,190,238,22,2,random,f_mmd,none,test,6.664162551711221
