dataset_name,accuracy_summary,accuracy_random,delta_accuracy,f1_summary,f1_random,balanced_accuracy_summary,balanced_accuracy_random,delta_balanced_accuracy,roc_auc_summary,roc_auc_random,delta_roc_auc,log_loss_summary,log_loss_random,delta_log_loss,fit_seconds_summary,fit_seconds_random,predict_seconds_summary,predict_seconds_random,task_type_summary,n_train_summary,n_val_summary,n_test_summary,n_features_summary,n_classes_summary
Amazon_employee_access,0.9433933475740006,0.9450717119316449,0.0016783643576442353,0.9301068881183704,0.9341816071224844,0.5860897524916411,0.6105079422729749,0.02441818978133381,0.8351237541794408,0.8259910482518452,-0.00913270592759563,0.1685398732352713,0.1764803804126319,0.007940507177360584,1.6257662773132324,68.03402209281921,9.051114082336426,5.1993372440338135,binclass,26215,5243,6554,7,2
BNG(breast-w),0.9881889763779528,0.9880619761239524,-0.00012700025400036452,0.9881997477294914,0.9880671889035106,0.9878375727246708,0.9872141801181176,-0.000623392606553197,0.9992097618743874,0.9991976835309644,-1.2078343422983195e-05,0.03218541099591,0.0328402254295313,0.0006548144336213021,0.791140079498291,91.92176294326782,10.719622135162354,7.557148694992065,binclass,31492,6299,7874,9,2
BNG(tic-tac-toe),0.8157226314452629,0.8159766319532639,0.0002540005080009511,0.8135631679198023,0.8136807500239616,0.7862986431728798,0.7859790070754806,-0.0003196360973991563,0.8836584746304951,0.8845327587143185,0.0008742840838233956,0.4047900127376176,0.4023220634677605,-0.002467949269857106,0.8712358474731445,100.55537390708923,10.989176034927368,7.366778135299683,binclass,31492,6299,7874,9,2
Basketball_c,0.6977611940298507,0.7089552238805971,0.011194029850746356,0.6974705754942503,0.711236006650442,0.6785376801322939,0.7008032128514057,0.022265532719111802,0.7381289865343728,0.7391330025986298,0.0010040160642570406,0.6196135343588107,0.5884238790115034,-0.031189655347307332,0.5286402702331543,7.880035161972046,0.5589077472686768,0.4807372093200683,binclass,1072,215,268,11,2
Cardiovascular-Disease-dataset,0.7339285714285714,0.7331428571428571,-0.0007857142857142785,0.7335481555639667,0.7329356282086473,0.7339070559696509,0.7331270148986171,-0.000780041071033799,0.800795567606716,0.8002455164066992,-0.0005500512000168323,0.5428176063678546,0.545056096578256,0.002238490210401456,0.9744865894317628,107.18091869354248,28.42198896408081,20.03214168548584,binclass,56000,11200,14000,11,2
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),0.9729166666666668,0.96875,-0.004166666666666763,0.9729231325737024,0.9687585467395412,0.97365127919911,0.969340934371524,-0.004310344827585966,0.9937082869855396,0.992769744160178,-0.0009385428253615435,0.0803472278754067,0.0977087822860217,0.017361554410615,0.5693988800048828,15.299450159072876,0.8503365516662598,0.5018520355224609,binclass,1920,384,480,30,2
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),0.95625,0.9541666666666668,-0.002083333333333215,0.95626044492675,0.9541722367865184,0.9569660734149056,0.9550889877641824,-0.001877085650723198,0.9923004727474972,0.9909795606229144,-0.0013209121245828515,0.1072469843459122,0.1180009335013932,0.010753949155480988,0.5447649955749512,10.370678186416626,0.8484790325164795,0.4700984954833984,binclass,1920,384,480,30,2
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),0.9666666666666668,0.9479166666666666,-0.018750000000000155,0.966675348578771,0.9479309112325682,0.9673248053392658,0.948484427141268,-0.018840378197997776,0.9943166017797552,0.99103170189099,-0.003284899888765236,0.0969399220662776,0.1229031666929741,0.025963244626696497,0.5409221649169922,8.367275953292847,0.8634233474731445,0.4627070426940918,binclass,1920,384,480,30,2
Customer_Personality_Analysis,0.8928571428571429,0.890625,-0.0022321428571429047,0.8848287598792377,0.8829200996492792,0.7278959533043444,0.7265836173463391,-0.001312335958005284,0.8997727895953304,0.9049046108042466,0.0051318212089161985,0.2595742916600211,0.2502802419888036,-0.009294049671217497,0.5580167770385742,8.958624839782715,0.8327481746673584,0.4727809429168701,binclass,1792,359,448,24,2
E-CommereShippingData,0.6772727272727272,0.6790909090909091,0.0018181818181818299,0.665211366874681,0.668365309163904,0.7274321222773565,0.727492227151776,6.010487441943102e-05,0.7306837959834488,0.7309559852004626,0.0002721892170137741,0.5033547758920178,0.5039355595107965,0.0005807836187786686,0.5957603454589844,24.45628499984741,1.71227765083313,1.239506721496582,binclass,8799,1760,2200,10,2
