model,comparison,left_method,right_method,dataset_name,stage,metric,left_value,right_value,delta
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0000_seed42,stage1,accuracy,0.6363636363636364,0.6363636363636364,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0001_seed42,stage1,accuracy,0.8477272727272728,0.8477272727272728,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0002_seed42,stage1,accuracy,0.6659090909090909,0.6659090909090909,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0003_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0004_seed42,stage1,accuracy,0.2597173144876325,0.2597173144876325,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0005_seed42,stage1,accuracy,0.9982332155477032,0.9982332155477032,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0006_seed42,stage1,accuracy,0.7773851590106007,0.7756183745583038,0.0017667844522968323
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0007_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0008_seed42,stage1,accuracy,0.788235294117647,0.792156862745098,-0.0039215686274509665
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0009_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0010_seed42,stage1,accuracy,0.44313725490196076,0.4431372549019607,5.551115123125783e-17
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0011_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0012_seed42,stage1,accuracy,0.5466237942122186,0.5466237942122186,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0013_seed42,stage1,accuracy,0.9372990353697749,0.9372990353697748,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0014_seed42,stage1,accuracy,0.7604501607717041,0.7604501607717041,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0015_seed42,stage1,accuracy,0.9935691318327974,0.9935691318327974,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0016_seed42,stage1,accuracy,0.9630281690140845,0.9630281690140844,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0017_seed42,stage1,accuracy,0.926056338028169,0.926056338028169,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0018_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0019_seed42,stage1,accuracy,0.29225352112676056,0.2922535211267605,5.551115123125783e-17
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0020_seed42,stage1,accuracy,0.5657142857142857,0.5657142857142857,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0021_seed42,stage1,accuracy,0.9742857142857143,0.9742857142857144,-1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0022_seed42,stage1,accuracy,0.7914285714285715,0.7885714285714286,0.0028571428571428914
