model,comparison,left_method,right_method,scope,metric,paired_rows,right_mean,left_mean,delta_mean,delta_pp,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_ci95_low_pp,bootstrap_ci95_high_pp,wins,losses,ties,negative_transfer_rate
tabicl-v2,ft_minus_infer,ft,infer,overall,accuracy,512,0.819710736634899,0.8199752850109925,0.00026454837609350023,0.026454837609350024,-4.8606899222232444e-05,0.0005760092792209218,-0.0048606899222232445,0.057600927922092184,63,41,408,0.080078125
tabicl-v2,ft_minus_infer,ft,infer,stage1,accuracy,171,0.8062596615625054,0.8062637422555496,4.080693044177313e-06,0.0004080693044177313,-0.00018273426607952125,0.00019695058138729417,-0.018273426607952125,0.019695058138729418,11,11,149,0.06432748538011696
tabicl-v2,ft_minus_infer,ft,infer,stage2,accuracy,171,0.8305864836554148,0.8309703053018968,0.0003838216464820348,0.03838216464820348,-0.00045901632120381476,0.0011906533615820946,-0.04590163212038147,0.11906533615820947,22,15,134,0.08771929824561403
tabicl-v2,ft_minus_infer,ft,infer,stage3,accuracy,170,0.8223012136753172,0.8227077870194401,0.0004065733441228814,0.040657334412288144,2.8725933448104918e-05,0.0007806254159809726,0.002872593344810492,0.07806254159809727,30,15,125,0.08823529411764706
tabicl-v2,ft_minus_infer,ft,infer,overall,balanced_accuracy,512,0.7648437259187999,0.7651969098467535,0.0003531839279536554,0.03531839279536554,7.857357263077485e-05,0.0006346904360507099,0.007857357263077486,0.063469043605071,78,41,393,0.080078125
tabicl-v2,ft_minus_infer,ft,infer,stage1,balanced_accuracy,171,0.7554510893501508,0.7554592947013178,8.205351166951677e-06,0.0008205351166951677,-0.00020686752919934047,0.00023726730806358087,-0.02068675291993405,0.023726730806358086,14,11,146,0.06432748538011696
tabicl-v2,ft_minus_infer,ft,infer,stage2,balanced_accuracy,171,0.7676865146558813,0.7683382051082229,0.0006516904523415578,0.06516904523415577,-3.103372708280534e-05,0.0013510228544756037,-0.003103372708280534,0.13510228544756037,28,14,129,0.08187134502923976
tabicl-v2,ft_minus_infer,ft,infer,stage3,balanced_accuracy,170,0.771432102267024,0.7718320316123904,0.00039992934536656747,0.03999293453665675,9.800412531181193e-06,0.0008098594220571372,0.0009800412531181194,0.08098594220571372,36,16,118,0.09411764705882353
tabicl-v2,faware_ft_minus_ft,faware_ft,ft,overall,accuracy,512,0.8199752850109925,0.8201278563578862,0.00015257134689382053,0.015257134689382053,-9.165063295946112e-05,0.00041481903848481026,-0.009165063295946112,0.04148190384848102,57,55,400,0.107421875
tabicl-v2,faware_ft_minus_ft,faware_ft,ft,stage1,accuracy,171,0.8062637422555496,0.8063023765358975,3.863428034792213e-05,0.0038634280347922133,-0.00016485291857304816,0.0002433873689845121,-0.016485291857304817,0.02433873689845121,12,9,150,0.05263157894736842
