dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
stage1_graph_scm_0000_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0000_seed42,multiclass,584,0,440,36,5,0.6363636363636364,0.6088740691197406,0.5907643769880238,0.8916732480295808,0.8198266394271526,1.169564962387085,1.7985742092132568,ok,
stage1_graph_scm_0001_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0001_seed42,multiclass,584,0,440,36,3,0.8454545454545455,0.8444370880295367,0.8105120591122571,0.9496794461310607,0.4013488624714699,0.6185169219970703,0.5092639923095703,ok,
stage1_graph_scm_0002_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0002_seed42,multiclass,584,0,440,36,5,0.6386363636363637,0.6354962098774949,0.6290793154359733,0.8950110601388213,0.8460103813073371,0.5196516513824463,0.5002951622009277,ok,
stage1_graph_scm_0003_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0003_seed42,binclass,584,0,440,36,2,1.0,1.0,1.0,1.0,0.00010973016280879973,0.7707414627075195,0.48131346702575684,ok,
stage1_graph_scm_0004_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0004_seed42,multiclass,458,0,566,36,5,0.2667844522968198,0.18337234390477283,0.2469629250189263,0.5884698646255508,1.569697943262896,0.6414110660552979,0.45757412910461426,ok,
stage1_graph_scm_0005_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0005_seed42,multiclass,458,0,566,36,5,0.9982332155477032,0.9982320954589424,0.9980582524271846,1.0,0.006348053138095655,0.514869213104248,0.45250654220581055,ok,
stage1_graph_scm_0006_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0006_seed42,multiclass,458,0,566,35,6,0.6890459363957597,0.6866106798938679,0.6805514050419029,0.9349630101805628,0.791831063608007,0.5510220527648926,0.4712231159210205,ok,
stage1_graph_scm_0007_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0007_seed42,binclass,458,0,566,30,2,1.0,1.0,1.0,1.0,9.234950440484608e-05,0.6433370113372803,0.46193671226501465,ok,
stage1_graph_scm_0008_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0008_seed42,multiclass,769,0,255,68,4,0.7568627450980392,0.7548661730065505,0.7572097789489093,0.9360947671367872,0.618953773869179,0.6808300018310547,0.5236120223999023,ok,
stage1_graph_scm_0009_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0009_seed42,binclass,769,0,255,66,2,1.0,1.0,1.0,1.0,1.3012596737295769e-05,0.6507940292358398,0.4832186698913574,ok,
stage1_graph_scm_0010_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0010_seed42,multiclass,769,0,255,68,4,0.4117647058823529,0.36656007063215046,0.35158730158730156,0.6575725813735152,1.3002769910042875,0.6184301376342773,0.46970200538635254,ok,
stage1_graph_scm_0011_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0011_seed42,binclass,769,0,255,58,2,1.0,1.0,1.0,1.0,1.3329798079459228e-05,0.8297758102416992,0.5494866371154785,ok,
stage1_graph_scm_0012_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0012_seed42,multiclass,402,0,622,50,4,0.5434083601286174,0.38947646146586457,0.49738708473310933,0.8001215131232983,0.8182887733380838,0.6758344173431396,0.5029222965240479,ok,
stage1_graph_scm_0013_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0013_seed42,multiclass,402,0,622,56,3,0.9292604501607717,0.9292514805966678,0.9325988853869679,0.9900039550630692,0.1708219474962704,0.5205159187316895,0.46631669998168945,ok,
stage1_graph_scm_0014_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0014_seed42,binclass,402,0,622,56,2,0.7556270096463023,0.7413785894349659,0.6957154624750341,0.7760011735367464,0.52930202954846,0.6493055820465088,0.490802526473999,ok,
stage1_graph_scm_0015_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0015_seed42,multiclass,402,0,622,56,6,0.9903536977491961,0.9904730081667984,0.9924071716039005,0.9998471854852685,0.02557184912699843,0.61478590965271,0.4601607322692871,ok,
stage1_graph_scm_0016_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0016_seed42,multiclass,456,0,568,58,5,0.9630281690140845,0.9626841021193552,0.9299112330799225,0.9957784405122266,0.13471924125117063,0.5659005641937256,0.500347375869751,ok,
stage1_graph_scm_0017_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0017_seed42,multiclass,456,0,568,65,3,0.920774647887324,0.9203030684104628,0.8442057787174067,0.9810931272150536,0.19790020039366085,0.6533093452453613,0.48604750633239746,ok,
stage1_graph_scm_0018_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0018_seed42,multiclass,456,0,568,45,6,1.0,1.0,1.0,1.0,0.008209306769838344,0.5480916500091553,0.46868205070495605,ok,
