dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage1_graph_scm_0000_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0000_seed42,multiclass,584,59,440,36,5,0.6363636363636364,0.6155676377336613,0.5968947484770907,0.8877533662212068,0.8310585555275075,10.895721673965454,1.0259361267089844,ok,,584,525,0,440,0.8281315565109253,True,0.1,True,16,1e-05,True,10.808863401412964,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.6271186440677966,0.6440677966101694,0.6271186440677966,0.6440677966101694,8,True,False,,f_mmd,test,standardized_l2,2.220810167549989,0.43261542919886425,,True
stage1_graph_scm_0001_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0001_seed42,multiclass,584,59,440,36,3,0.8477272727272728,0.848131770716998,0.8205730641129563,0.9536704303408426,0.3857534938072246,4.275916337966919,1.1194844245910645,ok,,584,525,0,440,0.2728215605020523,True,0.1,True,8,1e-05,True,4.187286376953125,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.864406779661017,0.864406779661017,0.864406779661017,0.864406779661017,0,True,False,,f_mmd,test,standardized_l2,2.5153732332535963,0.22459907008289717,,True
stage1_graph_scm_0002_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0002_seed42,multiclass,584,59,440,36,5,0.6659090909090909,0.6647523295255269,0.6555054455931669,0.9123695992581876,0.7691801680124397,4.444981336593628,1.061156988143921,ok,,584,525,0,440,0.7884570956230164,True,0.1,True,8,1e-05,True,4.3539745807647705,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.7288135593220338,0.7288135593220338,0.7288135593220338,0.7288135593220338,0,True,False,,f_mmd,test,standardized_l2,2.241916001961078,0.2950209160856333,,True
stage1_graph_scm_0003_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0003_seed42,binclass,584,59,440,36,2,1.0,1.0,1.0,1.0,4.695811688547696e-05,4.3763532638549805,1.049884557723999,ok,,584,525,0,440,7.662319148948882e-06,True,0.1,True,8,1e-05,True,4.285797834396362,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,f_mmd,test,standardized_l2,2.8107644884777736,0.4300673452611963,,True
stage1_graph_scm_0004_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0004_seed42,multiclass,458,46,566,36,5,0.2597173144876325,0.1804156708821266,0.239127631167506,0.5849768558644737,1.5751291945358954,4.12837028503418,1.1016287803649902,ok,,458,412,0,566,1.4936702251434326,True,0.1,True,8,1e-05,True,4.044505834579468,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.32608695652173914,0.32608695652173914,0.32608695652173914,0.32608695652173914,0,True,False,,f_mmd,test,standardized_l2,7.679357021279132,11.321287031479908,,True
stage1_graph_scm_0005_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0005_seed42,multiclass,458,46,566,36,5,0.9982332155477032,0.9982320954589424,0.9980582524271846,0.9999966138426114,0.008662503405617042,3.9954819679260254,1.0070092678070068,ok,,458,412,0,566,5.597603194473777e-05,True,0.1,True,8,1e-05,True,3.9129810333251953,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,f_mmd,test,standardized_l2,4.9827990671687346,0.8530236813636902,,True
stage1_graph_scm_0006_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0006_seed42,multiclass,458,46,566,35,6,0.7756183745583038,0.7771099098139715,0.7709752965945883,0.9663406824820614,0.5385692261011314,7.296629905700684,1.007211685180664,ok,,458,412,0,566,0.7020982205867767,True,0.1,True,16,1e-05,True,7.2122485637664795,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.7391304347826086,0.782608695652174,0.7391304347826086,0.782608695652174,8,True,False,,f_mmd,test,standardized_l2,4.0741476101118295,2.072030367689613,,True
stage1_graph_scm_0007_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0007_seed42,binclass,458,46,566,30,2,1.0,1.0,1.0,1.0,3.157508333240112e-05,3.7538599967956543,0.9115843772888184,ok,,458,412,0,566,4.8606859763822285e-06,True,0.1,True,8,1e-05,True,3.682037591934204,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,f_mmd,test,standardized_l2,2.8991034587580398,0.9864140655049964,,True
stage1_graph_scm_0008_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0008_seed42,multiclass,769,77,255,68,4,0.788235294117647,0.7881746726903928,0.7875128092519397,0.9437840018326437,0.5811426422432624,6.190338373184204,0.7306461334228516,ok,,769,692,0,255,0.6566538512706757,True,0.1,True,8,1e-05,True,6.016977310180664,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.7922077922077922,0.7922077922077922,0.7922077922077922,0.7922077922077922,0,True,False,,f_mmd,test,standardized_l2,1.5586015403792624,0.04546162885490804,,True
stage1_graph_scm_0009_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0009_seed42,binclass,769,77,255,66,2,1.0,1.0,1.0,1.0,6.446656729892293e-07,6.153640031814575,0.7247047424316406,ok,,769,692,0,255,8.526055808033561e-07,True,0.1,True,8,1e-05,True,5.991385459899902,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,f_mmd,test,standardized_l2,2.7710055023112075,0.41568151337665404,,True
stage1_graph_scm_0010_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0010_seed42,multiclass,769,77,255,68,4,0.44313725490196076,0.41009329578717446,0.3893483709273183,0.6803600898451811,1.2607414590665442,8.015100955963135,0.7375283241271973,ok,,769,692,0,255,1.2058644890785217,True,0.1,True,11,1e-05,True,7.84798526763916,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.5194805194805194,0.5584415584415584,0.5194805194805194,0.5584415584415584,3,True,False,,f_mmd,test,standardized_l2,2.8825975454455857,0.5860192507278851,,True
